0	48.5185	
1	49.0671	
2	49.7870	
3	51.0157	
4	52.9926	
5	56.4861	
6	61.6398	
7	68.7699	
8	77.4000	
9	86.4940	
10	94.8843	
11	101.8222	
12	106.7019	
13	109.4852	
14	110.2750	
15	110.6204	
16	111.1037	
17	111.9255	
18	113.1444	
19	114.4611	
20	115.7407	
21	116.5949	
22	117.1370	
23	117.5708	
24	117.9185	
25	118.7986	
26	119.7778	
27	119.7778	
28	119.4500	
29	116.6398	
30	112.8287	
31	106.9917	
32	99.7185	
33	91.6509	
34	83.3296	
35	75.2894	
36	68.0648	
37	61.7069	
38	56.5972	
39	52.1296	
40	48.9444	
